Ticker,Name,Avg Profit,Win Rate,Score
032640.KS,LG유플러스,41899,56.666666666666664,14
259960.KS,크래프톤,-85854,36.666666666666664,14
030200.KS,KT,204238,93.33333333333333,14
015760.KS,한국전력,299499,63.33333333333333,14
000660.KS,SK하이닉스,1119451,96.66666666666667,13
086280.KS,현대글로비스,1329441,100.0,13
064350.KS,현대로템,672596,96.66666666666667,13
071050.KS,한국금융지주,601758,100.0,13
251270.KS,넷마블,-43314,50.0,13
161390.KS,한국타이어앤테크놀로지,99640,56.666666666666664,13
161890.KS,한국콜마,20527,60.0,13
100840.KS,SNT에너지,130572,56.666666666666664,13
000990.KS,DB하이텍,966417,100.0,13
439260.KS,대한조선,-169399,36.666666666666664,13
000880.KS,한화,703054,90.0,13
035420.KS,NAVER,62680,63.33333333333333,13
