D,R,Diff,Main%,Accs,Avg Profit,Win Rate
0.01,0.02,0.01,0.3,3,866530,100.0
0.01,0.02,0.01,0.3,5,816929,100.0
0.01,0.02,0.01,0.3,7,777452,100.0
0.01,0.02,0.01,0.3,9,749017,100.0
0.01,0.02,0.01,0.4,3,1037070,100.0
0.01,0.02,0.01,0.4,5,1004415,100.0
0.01,0.02,0.01,0.4,7,971054,100.0
0.01,0.02,0.01,0.4,9,948735,100.0
0.01,0.02,0.01,0.5,3,1218293,100.0
0.01,0.02,0.01,0.5,5,1192292,100.0
0.01,0.02,0.01,0.5,7,1164007,100.0
0.01,0.02,0.01,0.5,9,1144677,100.0
0.01,0.02,0.01,0.6,3,1405190,100.0
0.01,0.02,0.01,0.6,5,1381706,100.0
0.01,0.02,0.01,0.6,7,1359957,100.0
0.01,0.02,0.01,0.6,9,1343945,100.0
0.01,0.03,0.02,0.3,3,902103,100.0
0.01,0.03,0.02,0.3,5,847193,100.0
0.01,0.03,0.02,0.3,7,803790,100.0
0.01,0.03,0.02,0.3,9,767893,100.0
0.01,0.03,0.02,0.4,3,1066093,100.0
0.01,0.03,0.02,0.4,5,1032463,100.0
0.01,0.03,0.02,0.4,7,991395,100.0
0.01,0.03,0.02,0.4,9,964792,100.0
0.01,0.03,0.02,0.5,3,1243956,100.0
0.01,0.03,0.02,0.5,5,1216107,100.0
0.01,0.03,0.02,0.5,7,1180525,100.0
0.01,0.03,0.02,0.5,9,1156840,100.0
0.01,0.03,0.02,0.6,3,1427155,100.0
0.01,0.03,0.02,0.6,5,1398648,100.0
0.01,0.03,0.02,0.6,7,1372764,100.0
0.01,0.03,0.02,0.6,9,1353134,100.0
0.02,0.03,0.01,0.3,3,800503,100.0
0.02,0.03,0.01,0.3,5,735126,100.0
0.02,0.03,0.01,0.3,7,712643,100.0
0.02,0.03,0.01,0.3,9,699151,100.0
0.02,0.03,0.01,0.4,3,986575,100.0
0.02,0.03,0.01,0.4,5,936770,100.0
0.02,0.03,0.01,0.4,7,917089,100.0
0.02,0.03,0.01,0.4,9,908087,100.0
0.02,0.03,0.01,0.5,3,1177872,100.0
0.02,0.03,0.01,0.5,5,1136666,100.0
0.02,0.03,0.01,0.5,7,1120074,100.0
0.02,0.03,0.01,0.5,9,1112282,100.0
0.02,0.03,0.01,0.6,3,1370771,100.0
0.02,0.03,0.01,0.6,5,1336482,100.0
0.02,0.03,0.01,0.6,7,1324573,100.0
0.02,0.03,0.01,0.6,9,1318132,100.0
0.02,0.04,0.02,0.3,3,821637,100.0
0.02,0.04,0.02,0.3,5,746408,100.0
0.02,0.04,0.02,0.3,7,721050,100.0
0.02,0.04,0.02,0.3,9,706168,100.0
0.02,0.04,0.02,0.4,3,1004156,100.0
0.02,0.04,0.02,0.4,5,947144,100.0
0.02,0.04,0.02,0.4,7,924234,100.0
0.02,0.04,0.02,0.4,9,913736,100.0
0.02,0.04,0.02,0.5,3,1193582,100.0
0.02,0.04,0.02,0.5,5,1145514,100.0
0.02,0.04,0.02,0.5,7,1126246,100.0
0.02,0.04,0.02,0.5,9,1116944,100.0
0.02,0.04,0.02,0.6,3,1382721,100.0
0.02,0.04,0.02,0.6,5,1343208,100.0
0.02,0.04,0.02,0.6,7,1329320,100.0
0.02,0.04,0.02,0.6,9,1321381,100.0
0.03,0.04,0.01,0.3,3,729061,100.0
0.03,0.04,0.01,0.3,5,694160,100.0
0.03,0.04,0.01,0.3,7,683153,100.0
0.03,0.04,0.01,0.3,9,676936,100.0
0.03,0.04,0.01,0.4,3,938840,100.0
0.03,0.04,0.01,0.4,5,909844,100.0
0.03,0.04,0.01,0.4,7,898780,100.0
0.03,0.04,0.01,0.4,9,893506,100.0
0.03,0.04,0.01,0.5,3,1144754,100.0
0.03,0.04,0.01,0.5,5,1117726,100.0
0.03,0.04,0.01,0.5,7,1107463,100.0
0.03,0.04,0.01,0.5,9,1102175,100.0
0.03,0.04,0.01,0.6,3,1346945,100.0
0.03,0.04,0.01,0.6,5,1323698,100.0
0.03,0.04,0.01,0.6,7,1315898,100.0
0.03,0.04,0.01,0.6,9,1311296,100.0
0.03,0.05,0.02,0.3,3,739943,100.0
