Code,Name,Score,Price,MarketCap(100M),PER,PBR,ROE,PEG,Debt_Ratio,Reserve_Ratio,Div_Yield,Sales_Growth,Net_Growth,Credit_Ratio,Current_Ratio,ROA,Op_Margin,Net_Margin,Low_Diff(%),High_Discount(%),Foreign_Own
000020,동화약품,7,6100,1704,30.63,0.45,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0,1.64,0.0,0.0,0.0,0.0,9.7,14.6,3.23
000040,KR모터스,8,432,373,0.0,0.8,0.0,0.0,0.0,0.0,0.0,-100.0,100.0,0.01,0.0,0.0,0.0,0.0,23.4,48.6,29.8
000050,경방,7,10360,2840,12.04,0.36,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0,2.7,0.0,0.0,0.0,0.0,71.2,31.9,1.55
000070,삼양홀딩스,8,61900,4805,19.42,0.26,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0,0.81,0.0,0.0,0.0,0.0,15.5,42.2,7.38
000080,하이트진로,12,17790,12477,13.23,1.05,9.4,1.15,0.0,0.0,0.0,-1.8390273930440137,11.494252873563218,1.04,0.0,0.0,7.98,4.18,4.3,19.9,6.32
000087,하이트진로2우B,10,14200,160,0.0,0.0,9.4,0.0,0.0,0.0,0.0,-1.8390273930440137,11.494252873563218,0.0,0.0,0.0,7.98,4.18,1.4,13.4,1.2
000100,유한양행,12,107300,85462,123.55,3.76,6.36,1.01,0.0,0.0,0.0,7.350807621626849,122.46376811594205,1.95,0.0,0.0,5.55,5.53,6.9,23.7,17.73
000105,유한양행우,11,92400,1091,0.0,0.0,6.36,0.0,0.0,0.0,0.0,7.350807621626849,122.46376811594205,1.07,0.0,0.0,5.55,5.53,2.7,26.8,0.0
000120,CJ대한통운,9,117100,26713,10.75,0.63,5.79,0.0,0.0,0.0,0.0,2.0797570315594878,-5.777115169586284,0.19,0.0,0.0,4.03,2.04,51.3,2.4,15.99
000140,하이트진로홀딩스,6,9410,2184,5.01,0.33,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0,0.14,0.0,0.0,0.0,0.0,15.5,26.8,7.54
000145,하이트진로홀딩스우,5,12050,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.0,20.4,19.4,1.04
000150,두산,11,885000,143315,0.0,11.38,17.26,0.0,0.0,0.0,0.0,8.654986240480012,95.33421575115817,1.12,0.0,0.0,6.29,3.0,274.2,18.2,17.63
000155,두산우,11,479500,19163,0.0,0.0,17.26,0.0,0.0,0.0,0.0,8.654986240480012,95.33421575115817,1.39,0.0,0.0,6.29,3.0,316.2,25.4,4.99
000157,두산2우B,12,411000,3670,0.0,0.0,17.26,0.0,0.0,0.0,0.0,8.654986240480012,95.33421575115817,0.11,0.0,0.0,6.29,3.0,302.9,33.3,2.42
000180,성창기업지주,7,1495,1043,0.0,0.18,0.0,0.0,0.0,0.0,0.0,-100.0,100.0,0.39,0.0,0.0,0.0,0.0,29.0,19.9,1.53
000210,DL,8,44800,9388,11.35,0.25,-2.21,0.0,0.0,0.0,0.0,-3.46190832353884,-196.41350210970467,1.49,0.0,0.0,6.15,-1.69,60.6,20.6,13.89
000215,DL우,6,24500,413,0.0,0.0,-2.21,0.0,0.0,0.0,0.0,-3.46190832353884,-196.41350210970467,0.9,0.0,0.0,6.15,-1.69,35.4,20.5,3.79
000220,유유제약,7,4310,734,9.7,0.65,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0,2.65,0.0,0.0,0.0,0.0,7.8,15.5,1.78
000225,유유제약1우,6,4785,108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.0,7.2,16.1,1.28
000227,유유제약2우B,5,10660,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.0,15.9,14.0,0.32
000230,일동홀딩스,8,11640,1343,2.13,1.0,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0,0.13,0.0,0.0,0.0,0.0,102.4,32.2,2.1
000240,한국앤컴퍼니,13,27950,26534,7.57,0.6,8.5,0.42,0.0,0.0,0.0,9.374550682961898,18.04961505560308,0.43,0.0,0.0,28.79,27.21,109.2,7.8,10.36
000270,기아,12,153800,600455,6.3,1.09,13.1,0.0,0.0,0.0,0.0,6.624736618743067,-22.15549872122762,0.2,0.0,0.0,7.97,6.64,89.2,13.1,39.96
000300,DH오토넥스,6,4200,1740,0.27,3.65,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.0,111.7,0.0,0.67
000320,노루홀딩스,8,24000,3190,6.4,0.68,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0,1.09,0.0,0.0,0.0,0.0,89.9,35.4,3.14
000325,노루홀딩스우,5,31950,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.0,18.6,20.1,2.54
000370,한화손해보험,8,6380,7448,2.88,0.34,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0,1.15,0.0,0.0,0.0,0.0,75.3,21.7,11.91
000390,삼화페인트,6,9500,2584,16.71,0.75,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0,4.2,0.0,0.0,0.0,0.0,80.6,7.8,10.88
000400,롯데손해보험,7,1726,5356,22.11,0.67,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0,0.66,0.0,0.0,0.0,0.0,15.1,23.6,1.3
000430,대원강업,6,3970,2461,10.42,0.47,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0,0.59,0.0,0.0,0.0,0.0,22.3,13.3,3.33
000480,CR홀딩스,7,4740,2223,0.0,0.36,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0,0.09,0.0,0.0,0.0,0.0,1.7,16.4,0.9
000490,대동,8,11280,3252,0.0,0.67,0.0,0.0,0.0,0.0,0.0,-100.0,100.0,3.74,0.0,0.0,0.0,0.0,28.3,29.0,3.33
000500,가온전선,7,87800,14525,27.06,1.91,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0,1.01,0.0,0.0,0.0,0.0,155.2,14.8,0.92
000520,삼일제약,7,10420,2260,0.0,1.27,0.0,0.0,0.0,0.0,0.0,1.957214383249886,-150.0,4.8,0.0,0.0,-6.96,-6.25,21.7,26.0,5.31
000540,흥국화재,8,3750,2409,2.29,0.32,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0,1.0,0.0,0.0,0.0,0.0,25.8,38.2,1.9
000545,흥국화재우,6,7170,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0,2.19,0.0,0.0,0.0,0.0,55.0,69.3,11.36
000590,CS홀딩스,7,82600,954,3.07,0.3,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0,0.08,0.0,0.0,0.0,0.0,23.7,19.1,3.4
000640,동아쏘시오홀딩스,13,105100,6870,11.84,0.65,10.79,0.11,0.0,0.0,0.0,7.088208820882088,106.77083333333333,0.42,0.0,0.0,7.34,8.34,12.6,16.3,16.1
000650,천일고속,8,300000,4288,0.0,30.28,0.0,0.0,0.0,0.0,0.0,-100.0,100.0,0.0,0.0,0.0,0.0,0.0,715.2,42.1,0.27
000660,SK하이닉스,13,887000,6457381,32.63,8.48,43.25,0.31,0.0,0.0,0.0,43.74903690722584,105.41801999302922,0.37,0.0,0.0,46.67,42.74,445.2,4.7,52.86
000670,영풍,9,57600,10413,0.0,0.31,0.0,0.0,0.0,0.0,0.0,-100.0,100.0,0.18,0.0,0.0,0.0,0.0,69.9,89.4,13.92
000680,LS네트웍스,8,3465,2731,0.0,0.5,0.0,0.0,0.0,0.0,0.0,-100.0,100.0,1.53,0.0,0.0,0.0,0.0,17.5,36.1,1.48
000700,유수홀딩스,6,5980,1557,9.46,0.46,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0,0.07,0.0,0.0,0.0,0.0,16.3,8.7,20.91
000720,현대건설,8,114200,127168,0.0,1.6,4.14,0.0,0.0,0.0,0.0,-5.997496196851575,164.35656486557036,1.8,0.0,0.0,2.09,1.61,283.2,6.4,22.8
000725,현대건설우,6,65900,695,0.0,0.0,4.14,0.0,0.0,0.0,0.0,-5.997496196851575,164.35656486557036,0.1,0.0,0.0,2.09,1.61,48.1,11.5,4.46
000760,이화산업,8,16310,457,0.0,0.34,0.0,0.0,0.0,0.0,0.0,-100.0,100.0,0.0,0.0,0.0,0.0,0.0,69.0,35.4,0.7
000810,삼성화재,9,531000,244319,12.95,1.57,12.05,21.18,0.0,0.0,0.0,-100.0,0.611517719568567,0.01,0.0,0.0,0.0,0.0,62.4,15.7,56.44
000815,삼성화재우,7,399000,12367,0.0,0.0,12.05,0.0,0.0,0.0,0.0,-100.0,0.611517719568567,0.02,0.0,0.0,0.0,0.0,56.2,1.5,29.07
000850,화천기공,6,41100,904,10.45,0.27,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0,1.3,0.0,0.0,0.0,0.0,57.5,5.1,12.13
000860,강남제비스코,7,16540,2150,16.22,0.35,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0,1.92,0.0,0.0,0.0,0.0,48.9,36.1,6.18
000880,한화,13,118700,88976,15.0,1.03,6.83,0.45,0.0,0.0,0.0,34.97397873732182,33.05134879318504,0.97,0.0,0.0,6.57,3.0,307.2,14.5,17.14
00088K,한화3우B,11,47100,9139,0.0,0.0,6.83,0.0,0.0,0.0,0.0,34.97397873732182,33.05134879318504,0.45,0.0,0.0,6.57,3.0,212.7,15.1,25.35
000890,보해양조,7,412,569,8.57,0.66,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0,1.04,0.0,0.0,0.0,0.0,3.0,26.8,2.64
000910,유니온,9,4445,694,0.0,0.83,0.0,0.0,0.0,0.0,0.0,-100.0,100.0,2.01,0.0,0.0,0.0,0.0,9.5,40.7,5.9
000950,전방,6,38650,649,7.28,0.3,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.0,115.7,22.1,0.85
000970,한국주철관,6,6810,1553,11.38,0.44,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0,0.8,0.0,0.0,0.0,0.0,13.3,18.7,2.39
000990,DB하이텍,13,99000,43070,19.2,2.11,13.28,0.95,0.0,0.0,0.0,21.596534653465348,20.31386224934612,1.0,0.0,0.0,20.07,20.06,226.2,12.8,32.2
001020,페이퍼코리아,9,595,1059,0.0,0.37,0.0,0.0,0.0,0.0,0.0,-100.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,34.0,0.24
001040,CJ,12,212000,61855,75.25,1.35,7.56,0.15,0.0,0.0,0.0,3.1292171000327627,509.72222222222223,0.32,0.0,0.0,5.65,2.05,129.7,6.0,15.76
001045,CJ우,9,98600,2229,0.0,0.0,7.56,0.0,0.0,0.0,0.0,3.1292171000327627,509.72222222222223,0.25,0.0,0.0,5.65,2.05,76.1,11.2,15.77
00104K,CJ4우(전환),10,177000,7481,0.0,0.0,7.56,0.0,0.0,0.0,0.0,3.1292171000327627,509.72222222222223,0.04,0.0,0.0,5.65,2.05,132.0,2.7,5.68
001060,JW중외제약,6,32500,7568,12.47,2.37,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0,1.72,0.0,0.0,0.0,0.0,65.8,9.7,8.03
001065,JW중외제약우,6,28450,97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.0,7.2,6.1,0.02
001067,JW중외제약2우B,6,58900,124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.0,5.0,10.2,0.15
001070,대한방직,6,6630,351,31.5,0.21,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.0,33.9,15.2,2.28
001080,만호제강,7,50100,2079,0.0,1.09,0.0,0.0,0.0,0.0,0.0,-100.0,100.0,0.0,0.0,0.0,0.0,0.0,133.6,11.3,0.96
001120,LX인터내셔널,8,42750,16570,9.43,0.61,8.75,0.0,0.0,0.0,0.0,-0.5265182478242054,-4.452690166975881,0.51,0.0,0.0,1.8,1.56,80.4,0.8,22.91
001130,대한제분,6,148000,2501,5.13,0.24,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0,0.43,0.0,0.0,0.0,0.0,20.2,14.3,7.18
001200,유진투자증권,7,4200,4068,8.2,0.38,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0,3.71,0.0,0.0,0.0,0.0,101.0,10.9,14.05
001210,금호전기,8,887,546,0.0,0.99,0.0,0.0,0.0,0.0,0.0,-100.0,100.0,0.0,0.0,0.0,0.0,0.0,74.6,36.6,13.05
001230,동국홀딩스,6,7620,2423,20.63,0.15,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0,0.72,0.0,0.0,0.0,0.0,21.0,19.6,11.6
001250,GS글로벌,8,2420,1997,3.69,0.37,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0,4.1,0.0,0.0,0.0,0.0,10.0,24.4,2.78
001260,남광토건,6,8720,857,13.83,0.72,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0,0.36,0.0,0.0,0.0,0.0,25.3,28.8,1.65
001270,부국증권,7,72300,7497,31.24,1.17,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0,0.6,0.0,0.0,0.0,0.0,194.5,14.5,0.8
001275,부국증권우,5,29500,885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0,0.05,0.0,0.0,0.0,0.0,45.7,10.5,10.52
001290,상상인증권,7,748,810,0.0,0.44,0.0,0.0,0.0,0.0,0.0,-100.0,100.0,0.66,0.0,0.0,0.0,0.0,88.4,21.3,1.45
001340,PKC,8,6430,2888,80.21,1.35,0.0,1.2,0.0,0.0,0.0,10.358890701468189,66.66666666666666,1.52,0.0,0.0,3.81,2.22,24.4,18.2,3.65
001360,삼성제약,7,2145,2020,0.0,1.91,0.0,0.0,0.0,0.0,0.0,-100.0,100.0,1.47,0.0,0.0,0.0,0.0,60.3,6.3,3.71
001380,SG글로벌,7,1650,742,11.75,0.5,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0,5.22,0.0,0.0,0.0,0.0,13.1,57.1,4.28
001390,KG케미칼,7,5960,4007,6.6,0.43,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0,2.04,0.0,0.0,0.0,0.0,76.3,2.3,12.85
001420,태원물산,9,3140,239,1.37,0.52,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.0,2.3,31.0,2.51
001430,세아베스틸지주,9,84400,30268,149.57,1.56,3.53,0.62,0.0,0.0,0.0,0.946068589972773,239.40886699507388,2.05,0.0,0.0,3.06,1.88,472.2,8.8,6.86
001440,대한전선,7,31550,58824,78.76,3.98,4.61,0.0,0.0,0.0,0.0,8.853644456597696,-1.078167115902965,3.08,0.0,0.0,3.39,2.05,214.9,8.4,9.24
001450,현대해상,12,30800,27535,3.24,0.57,21.98,0.68,0.0,0.0,0.0,-100.0,4.785420340975897,0.22,0.0,0.0,0.0,0.0,55.2,2.7,34.88
001460,BYC,6,47600,2973,21.72,0.73,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0,0.08,0.0,0.0,0.0,0.0,86.3,25.0,4.49
001465,BYC우,5,24850,535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0,0.04,0.0,0.0,0.0,0.0,109.2,22.0,2.39
001470,삼부토건,8,347,797,0.0,7.01,0.0,0.0,0.0,0.0,0.0,-100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.9,68.3,1.94
001500,현대차증권,7,9370,5794,10.68,0.3,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0,1.11,0.0,0.0,0.0,0.0,80.9,12.7,3.17
001510,SK증권,8,903,4267,0.0,0.73,0.0,0.0,0.0,0.0,0.0,-100.0,100.0,2.8,0.0,0.0,0.0,0.0,113.0,17.8,9.17
001515,SK증권우,6,2705,106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,100.0,0.0,0.0,0.0,0.0,0.0,69.2,17.9,0.79
001520,동양,7,938,2239,0.0,0.27,0.0,0.0,0.0,0.0,0.0,-100.0,100.0,1.63,0.0,0.0,0.0,0.0,85.0,29.5,4.88
001525,동양우,7,4850,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,100.0,0.49,0.0,0.0,0.0,0.0,35.9,57.9,0.29
001527,동양2우B,7,9100,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,100.0,0.0,0.0,0.0,0.0,0.0,46.8,44.9,0.0
001530,DI동일,8,21000,4143,341.8,0.81,-1.73,0.0,0.0,0.0,0.0,-6.567439005677459,-488.0,0.35,0.0,0.0,-0.16,-1.59,33.5,57.7,6.49
001550,조비,6,14720,764,119.41,1.45,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0,1.46,0.0,0.0,0.0,0.0,51.1,14.6,1.29
001560,제일연마,6,9350,916,15.5,0.76,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0,0.08,0.0,0.0,0.0,0.0,12.9,17.2,4.86
001570,금양,10,9900,6333,0.0,1.29,0.0,0.0,0.0,0.0,0.0,-100.0,100.0,0.0,0.0,0.0,0.0,0.0,1.1,59.8,5.11
001620,케이비아이동국실업,7,569,633,2.48,0.29,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0,0.03,0.0,0.0,0.0,0.0,26.7,12.5,1.0
001630,종근당홀딩스,6,50200,2515,7.49,0.42,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0,0.35,0.0,0.0,0.0,0.0,23.3,15.3,3.46
