Start Date,End Date,Final Value,Profit,Trades
2025-11-17,2025-12-16,10602795.768891837,602795.7688918374,104
2025-11-18,2025-12-17,10674755.158648796,674755.1586487964,103
2025-11-19,2025-12-18,10488315.469349405,488315.4693494048,87
2025-11-20,2025-12-19,10492204.255413312,492204.25541331246,53
2025-11-21,2025-12-19,10523519.722080063,523519.7220800631,86
2025-11-24,2025-12-23,10529957.413762065,529957.4137620647,83
2025-11-25,2025-12-24,10510191.272555884,510191.272555884,85
2025-11-26,2025-12-24,10369856.35585588,369856.3558558803,79
2025-11-27,2025-12-26,10545107.13560659,545107.1356065907,86
2025-11-28,2025-12-26,10611868.994614942,611868.994614942,81
2025-12-01,2025-12-30,10768599.439627446,768599.4396274462,83
2025-12-02,2025-12-30,10603726.398643795,603726.3986437954,78
2025-12-03,2025-12-30,10580883.824049104,580883.824049104,80
2025-12-04,2026-01-02,10868405.048819572,868405.0488195717,87
2025-12-05,2026-01-02,10836772.497748416,836772.4977484159,79
2025-12-08,2026-01-06,11182344.7666765,1182344.7666765004,118
2025-12-09,2026-01-07,11278181.655241039,1278181.6552410387,122
2025-12-10,2026-01-08,11354348.473165978,1354348.4731659777,127
2025-12-11,2026-01-09,11194116.615910387,1194116.6159103867,122
2025-12-12,2026-01-09,11234835.361521231,1234835.361521231,119
2025-12-15,2026-01-13,10984857.427239083,984857.4272390828,116
2025-12-16,2026-01-14,11082912.077778917,1082912.0777789168,118
2025-12-17,2026-01-15,11147624.259374406,1147624.2593744062,112
2025-12-18,2026-01-16,11541842.85885708,1541842.8588570803,153
2025-12-19,2026-01-16,11538187.720930642,1538187.7209306415,153
2025-12-22,2026-01-20,11320184.875619343,1320184.8756193426,147
2025-12-23,2026-01-21,11429097.46804646,1429097.4680464603,144
2025-12-24,2026-01-22,11564299.118293997,1564299.118293997,144
2025-12-26,2026-01-23,10938568.011135172,938568.0111351721,101
2025-12-29,2026-01-27,11294548.218028454,1294548.218028454,101
