Ticker,Name,Avg Profit,Win Rate,Score
383800.KS,LX홀딩스,23204,53.333333333333336,14
081660.KS,미스토홀딩스,181357,63.33333333333333,14
032640.KS,LG유플러스,7992,40.0,14
259960.KS,크래프톤,-160119,20.0,14
030200.KS,KT,251898,83.33333333333334,14
015760.KS,한국전력,316974,60.0,14
000660.KS,SK하이닉스,1495517,93.33333333333333,13
086280.KS,현대글로비스,1739938,100.0,13
178920.KS,PI첨단소재,-244565,13.333333333333334,13
089860.KS,롯데렌탈,-301086,13.333333333333334,13
002350.KS,넥센타이어,91201,53.333333333333336,13
084010.KS,대한제강,384040,60.0,13
064350.KS,현대로템,773657,90.0,13
071050.KS,한국금융지주,679022,96.66666666666667,13
070960.KS,모나용평,-11582,63.33333333333333,13
251270.KS,넷마블,-78856,50.0,13
161390.KS,한국타이어앤테크놀로지,100634,53.333333333333336,13
161890.KS,한국콜마,-26046,60.0,13
100840.KS,SNT에너지,99296,56.666666666666664,13
111770.KS,영원무역,-167622,30.0,13
000990.KS,DB하이텍,1209856,96.66666666666667,13
439260.KS,대한조선,-168724,40.0,13
000880.KS,한화,936696,86.66666666666667,13
035420.KS,NAVER,66970,66.66666666666666,13
