Ticker,Name,Avg Profit,Win Rate,Score
462870.KS,시프트업,-306140,23.333333333333332,15
383800.KS,LX홀딩스,6975,56.666666666666664,14
081660.KS,미스토홀딩스,148463,66.66666666666666,14
032640.KS,LG유플러스,6500,56.666666666666664,14
259960.KS,크래프톤,-54462,40.0,14
030200.KS,KT,165658,86.66666666666667,14
018670.KS,SK가스,-322408,10.0,14
015760.KS,한국전력,313447,70.0,14
000660.KS,SK하이닉스,965485,96.66666666666667,13
100090.KS,SK오션플랜트,374524,86.66666666666667,13
086280.KS,현대글로비스,1100359,100.0,13
178920.KS,PI첨단소재,-155393,33.33333333333333,13
089860.KS,롯데렌탈,-175324,10.0,13
075580.KS,세진중공업,405800,86.66666666666667,13
002350.KS,넥센타이어,108018,63.33333333333333,13
084010.KS,대한제강,301550,63.33333333333333,13
064350.KS,현대로템,625390,93.33333333333333,13
035720.KS,카카오,86376,76.66666666666667,13
071050.KS,한국금융지주,412994,100.0,13
071320.KS,지역난방공사,-300744,30.0,13
070960.KS,모나용평,12205,66.66666666666666,13
251270.KS,넷마블,-89000,53.333333333333336,13
161390.KS,한국타이어앤테크놀로지,111272,60.0,13
161890.KS,한국콜마,-2872,63.33333333333333,13
100840.KS,SNT에너지,48346,56.666666666666664,13
114090.KS,GKL,-143548,53.333333333333336,13
111770.KS,영원무역,-66740,33.33333333333333,13
000990.KS,DB하이텍,738428,96.66666666666667,13
000640.KS,동아쏘시오홀딩스,-483816,26.666666666666668,13
439260.KS,대한조선,-87461,40.0,13
484870.KS,엠앤씨솔루션,754290,76.66666666666667,13
000880.KS,한화,621287,86.66666666666667,13
035420.KS,NAVER,36799,66.66666666666666,13
