Ticker,Name,Avg Profit,Win Rate,Score
462870.KS,시프트업,-370671,23.333333333333332,15
383800.KS,LX홀딩스,8626,56.666666666666664,14
081660.KS,미스토홀딩스,159135,63.33333333333333,14
032640.KS,LG유플러스,-3125,53.333333333333336,14
259960.KS,크래프톤,-135866,30.0,14
030200.KS,KT,204660,86.66666666666667,14
018670.KS,SK가스,-404833,6.666666666666667,14
015760.KS,한국전력,291582,70.0,14
000660.KS,SK하이닉스,1173150,93.33333333333333,13
100090.KS,SK오션플랜트,431638,86.66666666666667,13
086280.KS,현대글로비스,1340280,100.0,13
178920.KS,PI첨단소재,-216765,13.333333333333334,13
089860.KS,롯데렌탈,-233928,10.0,13
075580.KS,세진중공업,489573,86.66666666666667,13
002350.KS,넥센타이어,93237,56.666666666666664,13
084010.KS,대한제강,383837,63.33333333333333,13
064350.KS,현대로템,695449,93.33333333333333,13
035720.KS,카카오,82895,73.33333333333333,13
071050.KS,한국금융지주,498335,100.0,13
071320.KS,지역난방공사,-318784,26.666666666666668,13
070960.KS,모나용평,59,63.33333333333333,13
251270.KS,넷마블,-116440,46.666666666666664,13
161390.KS,한국타이어앤테크놀로지,87522,53.333333333333336,13
161890.KS,한국콜마,-10602,63.33333333333333,13
100840.KS,SNT에너지,47344,56.666666666666664,13
114090.KS,GKL,-143706,50.0,13
111770.KS,영원무역,-100707,33.33333333333333,13
000990.KS,DB하이텍,894963,96.66666666666667,13
000640.KS,동아쏘시오홀딩스,-503713,26.666666666666668,13
439260.KS,대한조선,-120946,40.0,13
484870.KS,엠앤씨솔루션,821408,76.66666666666667,13
000880.KS,한화,721176,86.66666666666667,13
035420.KS,NAVER,31107,63.33333333333333,13
